firstname,lastname,affiliation
Ruth  Ahnert,Queen Mary, University of London
Sebastian,Ahnert,University of Cambridge
Arno  Bosse Oxford University
Simon,Burrows,University of Western Sydney
Giovanna,Ceserani,Stanford University
Paolo,Ciuccarelli,Politecnico di Milano
Javier, de la Rosa, Stanford Libraries
Marten,Düring,University of Luxembourg
Paula,Findlen,Stanford University
Mauricio,Giraldo,New York Public Library
Jo,Guldi,Brown University
Howard,Hotson,Oxford University
Eero,Hyvonen,Aalto University
Matthew,Jones,Columbia
Christoph,Kudella,University College Cork
Miranda Lewis Oxford University
Matthew,Lincoln,Getty Research Institute
Jacqueline,Lorber Kasunic,University of Technology Sydney
Sarah ,Ogilvie,Stanford University
Irène,Passeron,CNRS, Paris
Miriam,Posner,UCLA
Rob,Sanderson,‎J. Paul Getty Trust
Philip,Schreur,Stanford University Libraries
Daniel,Shore,Georgetown University
Sarah,Sussman,Stanford University Libraries
Kate,Sweetapple,University of Technology Sydney
Thomas,Wallnig,University of Vienna
Chris,Warren,Carnegie Mellon
Scott,Weingart,Carnegie Mellon
Caroline,Winterer,Stanford University